file_name,detected,processing_time,sensitivity,p_map,spectrum,prediction_error,lambda_param,tau,sigma,gradient_threshold
image_1.png,True,1.1345136165618896,medium,"[[7.7880073e-01 7.7880073e-01 5.6978285e-01 ... 9.3941307e-01
  7.7880073e-01 9.3941307e-01]
 [4.6770621e-02 3.6787942e-01 9.3941307e-01 ... 1.0000000e+00
  7.7880073e-01 7.7880073e-01]
 [9.3941307e-01 3.6787942e-01 2.0961139e-01 ... 5.6978285e-01
  9.3941307e-01 9.3941307e-01]
 ...
 [9.3941307e-01 7.7880073e-01 9.3941307e-01 ... 1.2340980e-04
  7.7880073e-01 5.6978285e-01]
 [1.0000000e+00 9.3941307e-01 7.7880073e-01 ... 5.6978285e-01
  7.7880073e-01 9.3941307e-01]
 [9.3941307e-01 9.3941307e-01 9.3941307e-01 ... 5.6978285e-01
  7.7880073e-01 7.7880073e-01]]","[[0.00939689 0.00160991 0.00170999 ... 0.0028497  0.00170999 0.00160991]
 [0.00124364 0.00369167 0.00291583 ... 0.00271802 0.00318386 0.00274003]
 [0.00243018 0.00348565 0.00046878 ... 0.00181469 0.00216758 0.00047755]
 ...
 [0.00061468 0.00278967 0.00199895 ... 0.00048256 0.00044261 0.00372411]
 [0.00243018 0.00047755 0.00216758 ... 0.00266018 0.00046878 0.00348565]
 [0.00124364 0.00274003 0.00318386 ... 0.0019411  0.00291583 0.00369167]]","[[ 0.5  -0.5   0.75 ... -0.25  0.5  -0.25]
 [-1.75  1.   -0.25 ...  0.   -0.5   0.5 ]
 [ 0.25  1.   -1.25 ...  0.75 -0.25 -0.25]
 ...
 [ 0.25 -0.5   0.25 ... -3.    0.5   0.75]
 [ 0.    0.25 -0.5  ...  0.75 -0.5  -0.25]
 [-0.25  0.25  0.25 ...  0.75 -0.5   0.5 ]]",1.0,2.0,1.0,0.008
image_2.png,True,1.1420669555664062,medium,"[[2.09611386e-01 1.83156393e-02 1.00000000e+00 ... 7.78800726e-01
  1.05399221e-01 2.09611386e-01]
 [1.83156393e-02 1.05399221e-01 2.58681011e-05 ... 5.69782853e-01
  1.05399221e-01 4.67706211e-02]
 [4.67706211e-02 7.78800726e-01 1.08485515e-17 ... 5.69782853e-01
  5.69782853e-01 3.67879421e-01]
 ...
 [1.05399221e-01 4.67706211e-02 7.78800726e-01 ... 2.09611386e-01
  5.19574736e-04 3.67879421e-01]
 [1.00000000e+00 7.78800726e-01 5.69782853e-01 ... 1.00000000e+00
  1.23409802e-04 1.83156393e-02]
 [2.09611386e-01 1.05399221e-01 5.69782853e-01 ... 5.69782853e-01
  5.69782853e-01 9.39413071e-01]]","[[0.02505366 0.04673557 0.00449343 ... 0.01947689 0.00449343 0.04673557]
 [0.0515089  0.03220993 0.00062483 ... 0.01473793 0.00459185 0.04019107]
 [0.03257142 0.01460408 0.00547861 ... 0.00432898 0.003157   0.02188319]
 ...
 [0.00757389 0.01180524 0.00348357 ... 0.00949455 0.00209374 0.00240624]
 [0.03257142 0.02188319 0.003157   ... 0.01030556 0.00547861 0.01460408]
 [0.0515089  0.04019107 0.00459185 ... 0.01315575 0.00062483 0.03220993]]","[[ 1.25 -2.    0.   ...  0.5   1.5  -1.25]
 [-2.    1.5   3.25 ... -0.75 -1.5   1.75]
 [ 1.75 -0.5  -6.25 ...  0.75  0.75 -1.  ]
 ...
 [-1.5   1.75  0.5  ...  1.25 -2.75  1.  ]
 [ 0.   -0.5   0.75 ...  0.    3.   -2.  ]
 [ 1.25 -1.5  -0.75 ... -0.75  0.75  0.25]]",1.0,2.0,1.0,0.008
